temp,SDNDUNSAN02,temp,DUNSAN_NEW,7,ED,4,ED-4,25,1.1.1.1
IMS,vMSS#53,vMSS53-1,DUNSAN_NEW,7,EF,1,EF-1,,60.50.53.71
IMS,vMSS#53,vMSS53-2,DUNSAN_NEW,7,EF,1,EF-1,,60.50.53.72
IMS,vMSS#53,vMSS53-3,DUNSAN_NEW,7,EF,1,EF-1,,60.50.53.73
IMS,vMSS#53,vMSS53-4,DUNSAN_NEW,7,EF,1,EF-1,,60.50.53.74
IMS,vMSS#53,vMSS53-5,DUNSAN_NEW,7,EF,1,EF-1,,60.50.53.75
IMS,vMSS#53,vMSS53-6,DUNSAN_NEW,7,EF,1,EF-1,,60.50.53.76
IMS,vMSS#53,vMSS53-7,DUNSAN_NEW,7,EF,1,EF-1,,60.50.53.77
IMS,vMSS#54,vMSS54-1,DUNSAN_NEW,7,EF,1,EF-1,,60.50.53.81
IMS,vMSS#54,vMSS54-2,DUNSAN_NEW,7,EF,1,EF-1,,60.50.53.82
IMS,vMSS#54,vMSS54-3,DUNSAN_NEW,7,EF,1,EF-1,,60.50.53.83
IMS,vMSS#54,vMSS54-4,DUNSAN_NEW,7,EF,1,EF-1,,60.50.53.84
IMS,vMSS#54,vMSS54-5,DUNSAN_NEW,7,EF,1,EF-1,,60.50.53.85
IMS,vMSS#54,vMSS54-6,DUNSAN_NEW,7,EF,1,EF-1,,60.50.53.86
IMS,vMSS#54,vMSS54-7,DUNSAN_NEW,7,EF,1,EF-1,,60.50.53.87
IMS,vMSS#71,vMSS71-1,DUNSAN_NEW,7,EF,2,EF-2,,60.50.63.11
IMS,vMSS#71,vMSS71-2,DUNSAN_NEW,7,EF,2,EF-2,,60.50.63.12
IMS,vMSS#71,vMSS71-3,DUNSAN_NEW,7,EF,2,EF-2,,60.50.63.13
IMS,vMSS#71,vMSS71-4,DUNSAN_NEW,7,EF,2,EF-2,,60.50.63.14
IMS,vMSS#71,vMSS71-5,DUNSAN_NEW,7,EF,2,EF-2,,60.50.63.15
